old_name,new_name,category
city,City,other
country,Country,other
meal_cheap,Cheap Meal,restaurant
meal_mid,Average Meal for 2,restaurant
meal_mcd,Fast Food Meal,restaurant
r_beer_dom,Domestic Beer (Restaurant),restaurant
r_beer_imp,Imported Beer (Restaurant),restaurant
r_cappuccino,Cappucino (Restaurant),restaurant
r_coke,Coke (Restaurant),restaurant
r_water,Water (Restaurant),restaurant
milk_1L,Milk (1L),market
bread_white,White Bread,market
rice_1kg,Rice (1kg),market
eggs_doz,Eggs (dozen),market
cheese_local_1kg,Local Cheese (1kg),market
chicken_fillet_1kg,Chicken Fillet (1kg),market
beef_round_1kg,Beef Round (1kg),market
apple_1kg,Apple (1kg),market
banana_1kg,Banana (1kg),market
orange_1kg,Orange (1kg),market
tomato_1kg,Tomato (1kg),market
potato_1kg,Potato (1kg),market
onion_1kg,Onion (1kg),market
lettuce,Lettuce Head,market
water_1.5L,Water Bottle (1.5L),market
winebottle_mid,Average Wine Bottle,market
beer_dom,Domestic Beer,market
beer_imp,Imported Beer,market
cigarettes_20,Cigarettes,market
ticket,One-Way Public Transportation,transportation
ticket_month,Monthly Public Transportation,transportation
taxi_start,Taxi Start Cost,transportation
taxi_1km,Taxi 1km Cost,transportation
taxi_1hrwait,Taxi 1hr Wait,transportation
gas_1L,Gas (1L),transportation
vw_golf,Volkswagen Golf,transportation
toyota_corolla,Toyota Corolla,transportation
basic,"Basic Utilities (Heat, Water, etc.)",utilities
mobile_1min,Mobile Calling (1 min),utilities
internet,Home Internet,utilities
gym_month,Gym Membership (monthly),leisure
tennis_rent,Tennis Court Rental,leisure
cinema,Movie Ticket,leisure
preschool,Preschool (monthly),childcare
primary_school,Primary School (annual),childcare
jeans,Jeans,clothing
summer_dress,Summer Dress,clothing
shoes_running,Running Shoes,clothing
shoes_business,Business Shoes,clothing
bed1_centre,Apartment in city (1 bed),home
bed1_out,Apartment outside city (1 bed),home
bed3_centre,Apartment in city (3 bed),home
bed3_out,Apartment outside city (3 bed),home
buy_centre,Apartment price in city (per sq m),home
buy_out,Apartment price outside city (per sq m),home
salary,Monthly Net Salary,home
mortgage,Mortgage Interest Rate,home
data_quality,Data Quality,other
